src_host,dest_host,timestamp,delay_mean,delay_median,delay_sd
lhc-latency.twgrid.org,ps1.ochep.ou.edu,1570237900000,-628.2449833333333,-628.25,0.03372436886814016
psfrascati02.lnf.infn.it,btw-lat.grid.kiae.ru,1570238179000,30.399750000000004,30.4,0.03901415341471184
perfsonar-ps.ndgf.org,clrperf-owamp.in2p3.fr,1570238158000,88.88071666666657,121.17000000000002,24.236021194076443
perfsonar-ow.cnaf.infn.it,lpnhe-psl.in2p3.fr,1570238173000,5.665599999999999,5.64,0.3130292425104509
psl01.pic.es,psl.hpc.utfsm.cl,1570238009000,128.70735000000002,128.57,0.5453046342794705
btw-lat.t1.grid.kiae.ru,perfsonar01.datagrid.cea.fr,1570238150000,32.09033333333332,31.94,0.34357127677124316
iut2-net1.iu.edu,perfsonar-ps.ndgf.org,1570238156000,64.65718333333334,64.64,0.09135042267128411
hepsonar2.ph.liv.ac.uk,perfsonar-ps-01.desy.de,1570238023000,20.122516666666662,20.08,0.3588497824841042
psl01-gva.cern.ch,uct2-net1.mwt2.org,1570238190000,52.8085,52.8,0.04446065676527932
psl01-gva.cern.ch,uct2-net1.mwt2.org,1570238010000,52.77266666666667,52.77,0.033831280725913404
epgperf.ph.bham.ac.uk,t2-pfsn2.jinr.ru,1570238103000,89.63298333333334,137.71,9.132985889969873
perfsonar2.ultralight.org,perfsonar1.ihepa.ufl.edu,1570238166000,45.86746666666669,45.85,0.09945810955148679
lcg-pslat.uw.computecanada.ca,psmsu01.aglt2.org,1570238082000,22.585416666666664,22.57,0.147865343208685
lcgps01.gridpp.rl.ac.uk,ps.truba.gov.tr,1570238048000,33.468816666666676,33.47,0.031855398112233466
lcgps01.gridpp.rl.ac.uk,ps.truba.gov.tr,1570238108000,33.535650000000004,33.54,0.03343517359508314
lcgps01.gridpp.rl.ac.uk,ps.truba.gov.tr,1570237988000,33.44601666666667,33.45,0.0356365877840305
lhcperfmon.bnl.gov,perfsonar-ps-01.desy.de,1570238085000,58.28611666666665,58.29,0.05233309713322487
